date_time,load,is_holiday,holiday_type,national_event_type,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,forecasted_load
2023-01-01 06:00:00+00:00,834,0,0,0,22,0,60,0,340,7.6,1020.2,1,944
2023-01-01 07:00:00+00:00,736,0,0,0,22.7,0,53,0,9,1.8,1018.2,1,866
2023-01-01 08:00:00+00:00,720,0,0,0,23.4,0,49,0,354,1.8,1017.3,1,832
2023-01-01 09:00:00+00:00,690,0,0,0,23.7,0,51,0,0,0,1017.2,1,806
2023-01-01 10:00:00+00:00,668,0,0,0,22,0,59,0,302,1.8,1016.9,1,762
2023-01-01 11:00:00+00:00,653,0,0,0,20.7,0,66,0,305,1.8,1016.8,1,765
2023-01-01 12:00:00+00:00,682,0,0,0,19.5,0,70,0,0,0,1017.5,1,761
2023-01-01 13:00:00+00:00,721,0,0,0,18.7,0,77,0,0,0,1017.3,1,775
2023-01-01 14:00:00+00:00,782,0,0,0,18,0,82,0,0,0,1017.9,1,877
2023-01-01 15:00:00+00:00,870,0,0,0,16.7,0,90,0,0,0,1019.2,1,1005
2023-01-01 16:00:00+00:00,1002,0,0,0,16.2,0,86,0,334,0,1018.6,1,1082
2023-01-01 17:00:00+00:00,1036,0,0,0,16,0,87,0,7,0,1018.5,1,1149
2023-01-01 18:00:00+00:00,1074,0,0,0,15.7,0,96,0,0,0,1018.8,1,1229
2023-01-01 19:00:00+00:00,1073,0,0,0,15.5,0,87,0,11,0,1018.2,1,1226
2023-01-01 20:00:00+00:00,1034,0,0,0,15.1,0,88,0,346,0,1017.9,1,1178
2023-01-01 21:00:00+00:00,1008,0,0,0,15.5,0,91,0,0,0,1018.6,1,1183
2023-01-01 22:00:00+00:00,998,0,0,0,14.3,0,96,0,335,0,1017.9,1,1151
2023-01-01 23:00:00+00:00,987,0,0,0,13.9,0,98,0,23,0,1017.6,1,1162
2023-01-02 00:00:00+00:00,1005,0,0,0,14.7,0,96,0,0,0,1018,1,1206
2023-01-02 01:00:00+00:00,991,0,0,0,14.7,0,93,0,3,0,1018.2,1,1142
